Subject,Location,Description,startDate,endDate,startTime,endTime
Nusha @ ARENA STAGE,ARENA STAGE,Nusha @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,18:00:00,19:00:00
LEVT @ ARENA STAGE,ARENA STAGE,LEVT @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,19:00:00,20:00:00
999999999 @ ARENA STAGE,ARENA STAGE,999999999 @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,20:00:00,21:30:00
Paula Temple @ ARENA STAGE,ARENA STAGE,Paula Temple @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,21:30:00,22:45:00
Space92 @ ARENA STAGE,ARENA STAGE,Space92 @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-12,22:45:00,00:00:00
Umek b2b Heerhorst @ ARENA STAGE,ARENA STAGE,Umek b2b Heerhorst @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,00:00:00,01:30:00
Lilly Palmer  @ ARENA STAGE,ARENA STAGE,Lilly Palmer  @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,01:30:00,03:00:00
i hate models @ ARENA STAGE,ARENA STAGE,i hate models @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,03:00:00,04:30:00
Fatima Hajji @ ARENA STAGE,ARENA STAGE,Fatima Hajji @ ARENA STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,04:30:00,06:00:00
Belocca b2b Tommahawk @ ARENA STAGE,ARENA STAGE,Belocca b2b Tommahawk @ ARENA STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,18:00:00,19:00:00
Basswell @ ARENA STAGE,ARENA STAGE,Basswell @ ARENA STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,19:00:00,20:15:00
Cera Khin @ ARENA STAGE,ARENA STAGE,Cera Khin @ ARENA STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,20:15:00,21:30:00
Charlie Sparks @ ARENA STAGE,ARENA STAGE,Charlie Sparks @ ARENA STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,21:30:00,23:00:00
Ann Clue @ ARENA STAGE,ARENA STAGE,Ann Clue @ ARENA STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-13,23:00:00,00:00:00
Joyhauser  @ ARENA STAGE,ARENA STAGE,Joyhauser  @ ARENA STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,00:00:00,01:30:00
Anfisa Letyago @ ARENA STAGE,ARENA STAGE,Anfisa Letyago @ ARENA STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,01:30:00,03:00:00
Clara Cuvé @ ARENA STAGE,ARENA STAGE,Clara Cuvé @ ARENA STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,03:00:00,04:30:00
Parfait @ ARENA STAGE,ARENA STAGE,Parfait @ ARENA STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,04:30:00,06:00:00
Prophecy @ ARENA STAGE,ARENA STAGE,Prophecy @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,18:00:00,19:00:00
Biia @ ARENA STAGE,ARENA STAGE,Biia @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,19:00:00,20:30:00
Shlømo @ ARENA STAGE,ARENA STAGE,Shlømo @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,20:30:00,22:00:00
Alfred Heinrichs @ ARENA STAGE,ARENA STAGE,Alfred Heinrichs @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,22:00:00,23:00:00
Danny Avila @ ARENA STAGE,ARENA STAGE,Danny Avila @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-14,23:00:00,00:30:00
Maddix @ ARENA STAGE,ARENA STAGE,Maddix @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,00:30:00,01:30:00
Indira Paganotto @ ARENA STAGE,ARENA STAGE,Indira Paganotto @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,01:30:00,03:00:00
HI-LO @ ARENA STAGE,ARENA STAGE,HI-LO @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,03:00:00,04:30:00
Sara Landry @ ARENA STAGE,ARENA STAGE,Sara Landry @ ARENA STAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,04:30:00,06:00:00
