Subject,Location,Description,startDate,endDate,startTime,endTime
Franky B @ CLASSIC AREA,CLASSIC AREA,Franky B @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-11,2024-07-11,18:00:00,19:00:00
Ziggy X @ CLASSIC AREA,CLASSIC AREA,Ziggy X @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-11,2024-07-11,19:00:00,20:00:00
Dj Gollum  @ CLASSIC AREA,CLASSIC AREA,Dj Gollum  @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-11,2024-07-11,20:00:00,21:00:00
Brooklyn Bounce DJ @ CLASSIC AREA,CLASSIC AREA,Brooklyn Bounce DJ @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-11,2024-07-11,21:00:00,22:00:00
DERB @ CLASSIC AREA,CLASSIC AREA,DERB @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-11,2024-07-11,22:00:00,23:00:00
Dune @ CLASSIC AREA,CLASSIC AREA,Dune @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-11,2024-07-12,23:00:00,00:00:00
Dj Sammy @ CLASSIC AREA,CLASSIC AREA,Dj Sammy @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-12,2024-07-12,00:00:00,01:00:00
Niels Van Gogh @ CLASSIC AREA,CLASSIC AREA,Niels Van Gogh @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-12,2024-07-12,01:00:00,02:00:00
Woody Van Eyden  @ CLASSIC AREA,CLASSIC AREA,Woody Van Eyden  @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-12,2024-07-12,02:00:00,03:00:00
Dj Falk  @ CLASSIC AREA,CLASSIC AREA,Dj Falk  @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-12,2024-07-12,03:00:00,04:00:00
CJ Stone @ CLASSIC AREA,CLASSIC AREA,CJ Stone @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-12,2024-07-12,04:00:00,05:00:00
Creek B2B Mira @ CLASSIC AREA,CLASSIC AREA,Creek B2B Mira @ CLASSIC AREA (Airbeat-Day: Thursday),2024-07-12,2024-07-12,05:00:00,06:00:00
Martink @ CLASSIC AREA,CLASSIC AREA,Martink @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-12,2024-07-12,18:00:00,19:00:00
Ian Van Dahl  @ CLASSIC AREA,CLASSIC AREA,Ian Van Dahl  @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-12,2024-07-12,19:00:00,20:00:00
Dj MellowD @ CLASSIC AREA,CLASSIC AREA,Dj MellowD @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-12,2024-07-12,20:00:00,21:00:00
Eric SSL @ CLASSIC AREA,CLASSIC AREA,Eric SSL @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-12,2024-07-12,21:00:00,22:00:00
Da Hool @ CLASSIC AREA,CLASSIC AREA,Da Hool @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-12,2024-07-12,22:00:00,23:00:00
Kai Tracid @ CLASSIC AREA,CLASSIC AREA,Kai Tracid @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-12,2024-07-13,23:00:00,00:00:00
Talla 2XLC @ CLASSIC AREA,CLASSIC AREA,Talla 2XLC @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-13,2024-07-13,00:00:00,01:00:00
Krid P @ CLASSIC AREA,CLASSIC AREA,Krid P @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-13,2024-07-13,01:00:00,02:00:00
Dj Quicksilver @ CLASSIC AREA,CLASSIC AREA,Dj Quicksilver @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-13,2024-07-13,02:00:00,03:00:00
Dj Dean @ CLASSIC AREA,CLASSIC AREA,Dj Dean @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-13,2024-07-13,03:00:00,04:00:00
Revil O @ CLASSIC AREA,CLASSIC AREA,Revil O @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-13,2024-07-13,04:00:00,05:00:00
DJ Bomba @ CLASSIC AREA,CLASSIC AREA,DJ Bomba @ CLASSIC AREA (Airbeat-Day: Friday),2024-07-13,2024-07-13,05:00:00,06:00:00
Slideout B2B Pacemaker @ CLASSIC AREA,CLASSIC AREA,Slideout B2B Pacemaker @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-13,2024-07-13,18:00:00,19:00:00
Money-G @ CLASSIC AREA,CLASSIC AREA,Money-G @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-13,2024-07-13,19:00:00,20:00:00
Chris Nitro @ CLASSIC AREA,CLASSIC AREA,Chris Nitro @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-13,2024-07-13,20:00:00,21:00:00
Special D @ CLASSIC AREA,CLASSIC AREA,Special D @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-13,2024-07-13,21:00:00,22:00:00
The Hitmen @ CLASSIC AREA,CLASSIC AREA,The Hitmen @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-13,2024-07-13,22:00:00,23:00:00
Charly Lownoise @ CLASSIC AREA,CLASSIC AREA,Charly Lownoise @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-13,2024-07-14,23:00:00,00:00:00
Starsplash @ CLASSIC AREA,CLASSIC AREA,Starsplash @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-14,2024-07-14,00:00:00,01:00:00
Rocco b2b Pulsedriver @ CLASSIC AREA,CLASSIC AREA,Rocco b2b Pulsedriver @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-14,2024-07-14,01:00:00,03:00:00
Dj Lee @ CLASSIC AREA,CLASSIC AREA,Dj Lee @ CLASSIC AREA (Airbeat-Day: Saturday),2024-07-14,2024-07-14,03:00:00,04:00:00
