Subject,Location,Description,startDate,endDate,startTime,endTime
Creek @ HARDER STAGE,HARDER STAGE,Creek @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,17:45:00,18:45:00
Mandy @ HARDER STAGE,HARDER STAGE,Mandy @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,18:45:00,19:45:00
Zatox @ HARDER STAGE,HARDER STAGE,Zatox @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,19:45:00,20:45:00
B-Frontliner @ HARDER STAGE,HARDER STAGE,B-Frontliner @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,20:45:00,21:45:00
D-Block & S-TE-Fan @ HARDER STAGE,HARDER STAGE,D-Block & S-TE-Fan @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,21:45:00,22:45:00
Sub Zero Project B2B Phuture Noize @ HARDER STAGE,HARDER STAGE,Sub Zero Project B2B Phuture Noize @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,22:45:00,23:45:00
Opening Show @ HARDER STAGE,HARDER STAGE,Opening Show @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-12,23:45:00,00:00:00
D-Sturb @ HARDER STAGE,HARDER STAGE,D-Sturb @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,00:00:00,00:30:00
Vertile @ HARDER STAGE,HARDER STAGE,Vertile @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,00:30:00,01:15:00
Act of Rage @ HARDER STAGE,HARDER STAGE,Act of Rage @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,01:15:00,02:15:00
Rebelion @ HARDER STAGE,HARDER STAGE,Rebelion @ HARDER STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,02:15:00,03:15:00
