Subject,Location,Description,startDate,endDate,startTime,endTime
NO.MADS @ MAINSTAGE,MAINSTAGE,NO.MADS @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,16:00:00,17:00:00
Korolova @ MAINSTAGE,MAINSTAGE,Korolova @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,17:00:00,18:00:00
Argy @ MAINSTAGE,MAINSTAGE,Argy @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,18:00:00,19:00:00
Deborah de Luca @ MAINSTAGE,MAINSTAGE,Deborah de Luca @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,19:00:00,20:30:00
Kölsch @ MAINSTAGE,MAINSTAGE,Kölsch @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,20:30:00,22:00:00
Tiësto @ MAINSTAGE,MAINSTAGE,Tiësto @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,22:00:00,23:30:00
Will Sparks @ MAINSTAGE,MAINSTAGE,Will Sparks @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-12,23:30:00,00:30:00
W&W @ MAINSTAGE,MAINSTAGE,W&W @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,00:30:00,01:30:00
Armin van Buuren @ MAINSTAGE,MAINSTAGE,Armin van Buuren @ MAINSTAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,01:30:00,03:00:00
SKIY @ MAINSTAGE,MAINSTAGE,SKIY @ MAINSTAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,16:00:00,17:00:00
Mau P @ MAINSTAGE,MAINSTAGE,Mau P @ MAINSTAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,17:00:00,18:30:00
Kevin De Vries @ MAINSTAGE,MAINSTAGE,Kevin De Vries @ MAINSTAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,18:30:00,20:00:00
Boris Brejcha @ MAINSTAGE,MAINSTAGE,Boris Brejcha @ MAINSTAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,20:00:00,21:30:00
Charlotte de Witte @ MAINSTAGE,MAINSTAGE,Charlotte de Witte @ MAINSTAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,21:30:00,23:10:00
Scooter @ MAINSTAGE,MAINSTAGE,Scooter @ MAINSTAGE (Airbeat-Day: Friday),2024-07-12,2024-07-13,23:30:00,00:30:00
Dimitri Vegas & Like Mike @ MAINSTAGE,MAINSTAGE,Dimitri Vegas & Like Mike @ MAINSTAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,00:45:00,01:45:00
Timmy Trumpet @ MAINSTAGE,MAINSTAGE,Timmy Trumpet @ MAINSTAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,01:45:00,03:00:00
Marten Hørger @ MAINSTAGE,MAINSTAGE,Marten Hørger @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,15:00:00,16:00:00
R3HAB @ MAINSTAGE,MAINSTAGE,R3HAB @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,16:00:00,17:00:00
Neelix @ MAINSTAGE,MAINSTAGE,Neelix @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,17:00:00,18:30:00
Alok @ MAINSTAGE,MAINSTAGE,Alok @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,18:30:00,19:50:00
Paul Kalkbrenner @ MAINSTAGE,MAINSTAGE,Paul Kalkbrenner @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,20:00:00,21:30:00
ARTBAT @ MAINSTAGE,MAINSTAGE,ARTBAT @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,21:40:00,23:00:00
Oliver Heldens @ MAINSTAGE,MAINSTAGE,Oliver Heldens @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-14,23:00:00,00:15:00
Vini Vici @ MAINSTAGE,MAINSTAGE,Vini Vici @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,00:15:00,01:30:00
Fireworks @ MAINSTAGE,MAINSTAGE,Fireworks @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,01:30:00,01:45:00
Afrojack @ MAINSTAGE,MAINSTAGE,Afrojack @ MAINSTAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,01:45:00,03:00:00
