Subject,Location,Description,startDate,endDate,startTime,endTime
Incognito @ SECOND STAGE,SECOND STAGE,Incognito @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,18:00:00,20:00:00
AType @ SECOND STAGE,SECOND STAGE,AType @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,20:00:00,21:00:00
Captain Hook @ SECOND STAGE,SECOND STAGE,Captain Hook @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,21:00:00,22:00:00
Cloud 7 @ SECOND STAGE,SECOND STAGE,Cloud 7 @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,22:00:00,23:00:00
Astrix @ SECOND STAGE,SECOND STAGE,Astrix @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-12,23:00:00,00:30:00
Ace Ventura @ SECOND STAGE,SECOND STAGE,Ace Ventura @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,00:30:00,02:00:00
Sajanka @ SECOND STAGE,SECOND STAGE,Sajanka @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,02:00:00,03:30:00
Alchimyst @ SECOND STAGE,SECOND STAGE,Alchimyst @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,03:30:00,04:30:00
Rising Dust @ SECOND STAGE,SECOND STAGE,Rising Dust @ SECOND STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,04:30:00,06:00:00
Durs @ SECOND STAGE,SECOND STAGE,Durs @ SECOND STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,18:00:00,19:30:00
Ranji @ SECOND STAGE,SECOND STAGE,Ranji @ SECOND STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,19:30:00,21:00:00
Omiki @ SECOND STAGE,SECOND STAGE,Omiki @ SECOND STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,21:00:00,22:00:00
Ghost Rider @ SECOND STAGE,SECOND STAGE,Ghost Rider @ SECOND STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,22:00:00,23:00:00
Blazy @ SECOND STAGE,SECOND STAGE,Blazy @ SECOND STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-13,23:00:00,00:00:00
Vegas @ SECOND STAGE,SECOND STAGE,Vegas @ SECOND STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,00:00:00,01:00:00
Blastoyz @ SECOND STAGE,SECOND STAGE,Blastoyz @ SECOND STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,01:00:00,02:00:00
Berg @ SECOND STAGE,SECOND STAGE,Berg @ SECOND STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,02:00:00,03:30:00
Claudinho Brasil @ SECOND STAGE,SECOND STAGE,Claudinho Brasil @ SECOND STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,03:30:00,04:30:00
Zyrus 7 @ SECOND STAGE,SECOND STAGE,Zyrus 7 @ SECOND STAGE (Airbeat-Day: Friday),2024-07-13,2024-07-13,04:30:00,06:00:00
Plus One @ SECOND STAGE,SECOND STAGE,Plus One @ SECOND STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,18:00:00,19:30:00
Phaxe b2b Querox @ SECOND STAGE,SECOND STAGE,Phaxe b2b Querox @ SECOND STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,19:30:00,21:00:00
Fabio Fusco @ SECOND STAGE,SECOND STAGE,Fabio Fusco @ SECOND STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,21:00:00,22:30:00
Morten Granau @ SECOND STAGE,SECOND STAGE,Morten Granau @ SECOND STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-14,22:30:00,00:00:00
Hatikwa @ SECOND STAGE,SECOND STAGE,Hatikwa @ SECOND STAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,00:00:00,01:30:00
Schrittmacher @ SECOND STAGE,SECOND STAGE,Schrittmacher @ SECOND STAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,01:30:00,03:00:00
Babalos @ SECOND STAGE,SECOND STAGE,Babalos @ SECOND STAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,03:00:00,04:00:00
LsDirty @ SECOND STAGE,SECOND STAGE,LsDirty @ SECOND STAGE (Airbeat-Day: Saturday),2024-07-14,2024-07-14,04:00:00,06:00:00
