Subject,Location,Description,startDate,endDate,startTime,endTime
Justin Pollnik @ TERMINAL STAGE,TERMINAL STAGE,Justin Pollnik @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,18:00:00,19:00:00
Justin Prince @ TERMINAL STAGE,TERMINAL STAGE,Justin Prince @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,19:00:00,20:00:00
Housekasper @ TERMINAL STAGE,TERMINAL STAGE,Housekasper @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,20:00:00,21:00:00
Blvck Crowz & Rewi @ TERMINAL STAGE,TERMINAL STAGE,Blvck Crowz & Rewi @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,21:00:00,22:00:00
The Disco Boys @ TERMINAL STAGE,TERMINAL STAGE,The Disco Boys @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,22:00:00,23:00:00
Pretty Pink @ TERMINAL STAGE,TERMINAL STAGE,Pretty Pink @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-12,23:00:00,00:00:00
Gestört aber Geil @ TERMINAL STAGE,TERMINAL STAGE,Gestört aber Geil @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,00:00:00,01:15:00
YouNotUs @ TERMINAL STAGE,TERMINAL STAGE,YouNotUs @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,01:15:00,02:15:00
Thomas Lizzara @ TERMINAL STAGE,TERMINAL STAGE,Thomas Lizzara @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,02:15:00,03:15:00
Komacasper @ TERMINAL STAGE,TERMINAL STAGE,Komacasper @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,03:15:00,04:15:00
Die Gebrüder Brett @ TERMINAL STAGE,TERMINAL STAGE,Die Gebrüder Brett @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,04:15:00,05:15:00
Nicolas Binder @ TERMINAL STAGE,TERMINAL STAGE,Nicolas Binder @ TERMINAL STAGE (Airbeat-Day: Thursday),2024-07-12,2024-07-12,05:15:00,06:00:00
Uwe Worlitzer @ TERMINAL STAGE,TERMINAL STAGE,Uwe Worlitzer @ TERMINAL STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,18:00:00,19:00:00
Jerome @ TERMINAL STAGE,TERMINAL STAGE,Jerome @ TERMINAL STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,19:00:00,20:00:00
Kxxma @ TERMINAL STAGE,TERMINAL STAGE,Kxxma @ TERMINAL STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,20:00:00,21:00:00
Mariana Bo @ TERMINAL STAGE,TERMINAL STAGE,Mariana Bo @ TERMINAL STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,21:00:00,22:15:00
