Subject,Location,Description,startDate,endDate,startTime,endTime
Krimsen & Mosby @ VIP VILLAGE,VIP VILLAGE,Krimsen & Mosby @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,10:00:00,11:00:00
Tejax @ VIP VILLAGE,VIP VILLAGE,Tejax @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,11:00:00,12:00:00
"Jerik, Pair Glasses, PS-Traxx & Valuev @ VIP VILLAGE",VIP VILLAGE,"Jerik, Pair Glasses, PS-Traxx & Valuev @ VIP VILLAGE (Airbeat-Day: Wednesday)",2024-07-10,2024-07-10,12:00:00,13:00:00
Konstantin Kayser @ VIP VILLAGE,VIP VILLAGE,Konstantin Kayser @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,13:00:00,14:00:00
"Elepanthr, LISTORIO & NIQE @ VIP VILLAGE",VIP VILLAGE,"Elepanthr, LISTORIO & NIQE @ VIP VILLAGE (Airbeat-Day: Wednesday)",2024-07-10,2024-07-10,14:00:00,16:00:00
Soyos @ VIP VILLAGE,VIP VILLAGE,Soyos @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,16:00:00,17:00:00
Karl Kirschmayer @ VIP VILLAGE,VIP VILLAGE,Karl Kirschmayer @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,17:00:00,18:00:00
Daniel Ledwa @ VIP VILLAGE,VIP VILLAGE,Daniel Ledwa @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,18:00:00,19:00:00
Jaques Raupé b2b2 Hubinek & Sperbel @ VIP VILLAGE,VIP VILLAGE,Jaques Raupé b2b2 Hubinek & Sperbel @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,19:00:00,20:00:00
Sven Cuber @ VIP VILLAGE,VIP VILLAGE,Sven Cuber @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,20:00:00,21:00:00
Toby DEE @ VIP VILLAGE,VIP VILLAGE,Toby DEE @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,21:00:00,22:00:00
Patrick Scuro @ VIP VILLAGE,VIP VILLAGE,Patrick Scuro @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,22:00:00,23:00:00
PEED @ VIP VILLAGE,VIP VILLAGE,PEED @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-10,2024-07-11,23:00:00,00:00:00
Alex Werthan @ VIP VILLAGE,VIP VILLAGE,Alex Werthan @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-11,2024-07-11,00:00:00,01:00:00
HAW - HumanAudioWorkstation @ VIP VILLAGE,VIP VILLAGE,HAW - HumanAudioWorkstation @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-11,2024-07-11,01:00:00,02:00:00
Morten Heuer @ VIP VILLAGE,VIP VILLAGE,Morten Heuer @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-11,2024-07-11,02:00:00,03:00:00
OPIX @ VIP VILLAGE,VIP VILLAGE,OPIX @ VIP VILLAGE (Airbeat-Day: Wednesday),2024-07-11,2024-07-11,03:00:00,04:00:00
Jumpsox @ VIP VILLAGE,VIP VILLAGE,Jumpsox @ VIP VILLAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,10:00:00,11:00:00
GebZøund @ VIP VILLAGE,VIP VILLAGE,GebZøund @ VIP VILLAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,11:00:00,12:00:00
ROMMYS b2b Romano Meinert @ VIP VILLAGE,VIP VILLAGE,ROMMYS b2b Romano Meinert @ VIP VILLAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,12:00:00,13:00:00
