id,artistId,title,displayDate,stageTitle,startTimestamp,endTimestamp,ticketUrl,showInTimetable,stageId,dayId,sortOrder,stageName,dayName,dayOrder,startTime,endTime,startDate,endDate
32079,20813,Villain (Host),Thursday,HARDER STAGE,0,0,,,14230,10362,1,HARDER STAGE,Thursday,2,01:00:00,01:00:00,1970-01-01,1970-01-01
31740,20375,Jay Frog,Thursday,CLASSIC AREA,0,0,,,14238,10362,2,CLASSIC AREA,Thursday,2,01:00:00,01:00:00,1970-01-01,1970-01-01
31807,20450,Pollnik,Thursday,TERMINAL STAGE,0,0,,,14245,10362,3,TERMINAL STAGE,Thursday,2,01:00:00,01:00:00,1970-01-01,1970-01-01
32081,20813,Villain (Host),Saturday,HARDER STAGE,0,0,,,14230,10364,4,HARDER STAGE,Saturday,4,01:00:00,01:00:00,1970-01-01,1970-01-01
32080,20813,Villain (Host),Friday,HARDER STAGE,0,0,,,14230,10363,5,HARDER STAGE,Friday,3,01:00:00,01:00:00,1970-01-01,1970-01-01
32082,20813,Villain (Host),Sunday,HARDER STAGE,0,0,,,14230,10365,6,HARDER STAGE,Sunday,5,01:00:00,01:00:00,1970-01-01,1970-01-01
35166,23453,Krimsen & Mosby,Wed 10 Jul 10:00 - 11:00,VIP VILLAGE,1720598400,1720602000,,,14240,10361,7,VIP VILLAGE,Wednesday,1,10:00:00,11:00:00,2024-07-10,2024-07-10
35167,23454,Tejax,Wed 10 Jul 11:00 - 12:00,VIP VILLAGE,1720602000,1720605600,,,14240,10361,8,VIP VILLAGE,Wednesday,1,11:00:00,12:00:00,2024-07-10,2024-07-10
35168,23455,"Jerik, Pair Glasses, PS-Traxx & Valuev",Wed 10 Jul 12:00 - 13:00,VIP VILLAGE,1720605600,1720609200,,,14240,10361,9,VIP VILLAGE,Wednesday,1,12:00:00,13:00:00,2024-07-10,2024-07-10
35169,23456,Konstantin Kayser,Wed 10 Jul 13:00 - 14:00,VIP VILLAGE,1720609200,1720612800,,,14240,10361,10,VIP VILLAGE,Wednesday,1,13:00:00,14:00:00,2024-07-10,2024-07-10
35170,23457,"Elepanthr, LISTORIO & NIQE",Wed 10 Jul 14:00 - 16:00,VIP VILLAGE,1720612800,1720620000,,,14240,10361,11,VIP VILLAGE,Wednesday,1,14:00:00,16:00:00,2024-07-10,2024-07-10
35171,23458,Soyos,Wed 10 Jul 16:00 - 17:00,VIP VILLAGE,1720620000,1720623600,,,14240,10361,12,VIP VILLAGE,Wednesday,1,16:00:00,17:00:00,2024-07-10,2024-07-10
35172,23459,Karl Kirschmayer,Wed 10 Jul 17:00 - 18:00,VIP VILLAGE,1720623600,1720627200,,,14240,10361,13,VIP VILLAGE,Wednesday,1,17:00:00,18:00:00,2024-07-10,2024-07-10
35173,23460,Daniel Ledwa,Wed 10 Jul 18:00 - 19:00,VIP VILLAGE,1720627200,1720630800,,,14240,10361,14,VIP VILLAGE,Wednesday,1,18:00:00,19:00:00,2024-07-10,2024-07-10
35158,23450,Anton Jonathan,Wed 10 Jul 19:00 - 20:00,N-JOY CHECK-IN,1720630800,1720634400,,,14239,10361,15,N-JOY CHECK-IN,Wednesday,1,19:00:00,20:00:00,2024-07-10,2024-07-10
35174,23461,Jaques Raupé b2b2 Hubinek & Sperbel,Wed 10 Jul 19:00 - 20:00,VIP VILLAGE,1720630800,1720634400,,,14240,10361,16,VIP VILLAGE,Wednesday,1,19:00:00,20:00:00,2024-07-10,2024-07-10
35175,23462,Sven Cuber,Wed 10 Jul 20:00 - 21:00,VIP VILLAGE,1720634400,1720638000,,,14240,10361,17,VIP VILLAGE,Wednesday,1,20:00:00,21:00:00,2024-07-10,2024-07-10
35159,23451,Sitze,Wed 10 Jul 20:00 - 21:00,N-JOY CHECK-IN,1720634400,1720638000,,,14239,10361,18,N-JOY CHECK-IN,Wednesday,1,20:00:00,21:00:00,2024-07-10,2024-07-10
35176,23463,Toby DEE,Wed 10 Jul 21:00 - 22:00,VIP VILLAGE,1720638000,1720641600,,,14240,10361,19,VIP VILLAGE,Wednesday,1,21:00:00,22:00:00,2024-07-10,2024-07-10
31467,20099,Christian Lidsba,Wed 10 Jul 21:00 - 22:00,N-JOY CHECK-IN,1720638000,1720641600,,,14239,10361,20,N-JOY CHECK-IN,Wednesday,1,21:00:00,22:00:00,2024-07-10,2024-07-10
35177,23464,Patrick Scuro,Wed 10 Jul 22:00 - 23:00,VIP VILLAGE,1720641600,1720645200,,,14240,10361,21,VIP VILLAGE,Wednesday,1,22:00:00,23:00:00,2024-07-10,2024-07-10
31773,20420,2Elements,Wed 10 Jul 22:00 - 23:00,N-JOY CHECK-IN,1720641600,1720645200,,,14239,10361,22,N-JOY CHECK-IN,Wednesday,1,22:00:00,23:00:00,2024-07-10,2024-07-10
35178,23465,PEED,Wed 10 Jul 23:00 - 00:00,VIP VILLAGE,1720645200,1720648800,,,14240,10361,23,VIP VILLAGE,Wednesday,1,23:00:00,00:00:00,2024-07-10,2024-07-11
32073,20803,Noel Holler,Wed 10 Jul 23:00 - 00:00,N-JOY CHECK-IN,1720645200,1720648800,,,14239,10361,24,N-JOY CHECK-IN,Wednesday,1,23:00:00,00:00:00,2024-07-10,2024-07-11
35179,23466,Alex Werthan,Wed 10 Jul 00:00 - 01:00,VIP VILLAGE,1720648800,1720652400,,,14240,10361,25,VIP VILLAGE,Wednesday,1,00:00:00,01:00:00,2024-07-11,2024-07-11
31937,20602,Noisetime,Wed 10 Jul 00:00 - 01:00,N-JOY CHECK-IN,1720648800,1720652400,,,14239,10361,26,N-JOY CHECK-IN,Wednesday,1,00:00:00,01:00:00,2024-07-11,2024-07-11
35180,23467,HAW - HumanAudioWorkstation,Wed 10 Jul 01:00 - 02:00,VIP VILLAGE,1720652400,1720656000,,,14240,10361,27,VIP VILLAGE,Wednesday,1,01:00:00,02:00:00,2024-07-11,2024-07-11
33091,21554,TNT,Wed 10 Jul 01:00 - 02:00,N-JOY CHECK-IN,1720652400,1720656000,,,14239,10361,28,N-JOY CHECK-IN,Wednesday,1,01:00:00,02:00:00,2024-07-11,2024-07-11
32714,21395,Malice,Wed 10 Jul 02:00 - 03:00,N-JOY CHECK-IN,1720656000,1720659600,,,14239,10361,29,N-JOY CHECK-IN,Wednesday,1,02:00:00,03:00:00,2024-07-11,2024-07-11
35181,23468,Morten Heuer,Wed 10 Jul 02:00 - 03:00,VIP VILLAGE,1720656000,1720659600,,,14240,10361,30,VIP VILLAGE,Wednesday,1,02:00:00,03:00:00,2024-07-11,2024-07-11
35182,23469,OPIX,Wed 10 Jul 03:00 - 04:00,VIP VILLAGE,1720659600,1720663200,,,14240,10361,31,VIP VILLAGE,Wednesday,1,03:00:00,04:00:00,2024-07-11,2024-07-11
35183,23471,Jumpsox,Thu 11 Jul 10:00 - 11:00,VIP VILLAGE,1720684800,1720688400,,,14240,10362,32,VIP VILLAGE,Thursday,2,10:00:00,11:00:00,2024-07-11,2024-07-11
35184,23472,GebZøund,Thu 11 Jul 11:00 - 12:00,VIP VILLAGE,1720688400,1720692000,,,14240,10362,33,VIP VILLAGE,Thursday,2,11:00:00,12:00:00,2024-07-11,2024-07-11
